"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1897003175355539732","Tue Mar 04 23:03:41 +0000 2025","0","@Pai_C1 mau banjir pun tetep buka","1897060408126812272","","Pai_C1","in","","0","0","0","https://x.com/strxwberryst/status/1897060408126812272","1957818199","strxwberryst"
"1897060379840364696","Tue Mar 04 23:03:34 +0000 2025","0","Liat berita banjir and liat story temen-temen yang kebanjiran sedih banget :( huhuhuhu","1897060379840364696","","","in","","0","1","0","https://x.com/qwertylla/status/1897060379840364696","381485238","qwertylla"
"1897060362731839804","Tue Mar 04 23:03:30 +0000 2025","0","Stay safe guys banjir dimana mana soalnya","1897060362731839804","","","in","","0","0","0","https://x.com/megaskyid98/status/1897060362731839804","794378943562326016","megaskyid98"
"1897060282570297850","Tue Mar 04 23:03:11 +0000 2025","0","yaallah sedih bgt baca berita banjir... yaallah kuatkan hati jiwa dan raga para korban yaallah...","1897060282570297850","","","in","勇志 ;dnff","0","0","0","https://x.com/skwipzy/status/1897060282570297850","1387110474475401216","skwipzy"
"1897060236147745248","Tue Mar 04 23:03:00 +0000 2025","0","Kawan-kawan yg jd korban banjir sabar y.. Semoga hari ini surut. Tp klo kantor pemerintahan keknya mending bajir terus aja g sih? Kerjanya g beda soalnya. @improletar kulkas lu d bangun blom?","1897060236147745248","","","in","","0","1","0","https://x.com/penggunarese/status/1897060236147745248","1832807838907027456","penggunarese"
"1897060127100035331","Tue Mar 04 23:02:34 +0000 2025","0","Nyawa di ujung Tanduk Marinir TNI AL Gerak Cepat Terjang Banjir Jabodetabek demi Evakuasi Warga https://t.co/bRGr26agFZ","1897060127100035331","","","in","Jakarta Capital Region","0","0","0","https://x.com/zonajakarta1/status/1897060127100035331","1219947729155047424","zonajakarta1"
"1897060126093402300","Tue Mar 04 23:02:34 +0000 2025","0","Kebijakan Tata Ruang Bakal Dievaluasi Demi Mencegah Banjir di Jawa Barat https://t.co/RbdBJjqrUT","1897060126093402300","","","in","Indonesia","0","0","0","https://x.com/jpnncom/status/1897060126093402300","79130206","jpnncom"
"1897056794423534047","Tue Mar 04 23:02:19 +0000 2025","0","@maringetweett Ya Allah kasian banget itu dah sapinya kerendem banjir","1897060061949911197","","maringetweett","in","","0","0","0","https://x.com/zeokatt/status/1897060061949911197","1675308325142167553","zeokatt"
"1896985854536769738","Tue Mar 04 23:02:17 +0000 2025","44","@hagemashi007 @bacottetangga__ Ngg gt konsepnya. KLO daerah lu bertembok n kena banjir brarti ada masalah di saluran airnya. N kurangnya resapan air. ‍. Lu bongkar tembok malah berbagi banjir. Bukan ngebuang","1897060053359976830","","hagemashi007","in","Indonesia,","0","1","3","https://x.com/akazabulanang/status/1897060053359976830","442309118","akazabulanang"
"1897060029607633156","Tue Mar 04 23:02:11 +0000 2025","0","tetangga nih 2020 zenix nya kena banjir buseeet langsung pingsan istrinya","1897060029607633156","","","in","atas kasur","0","0","0","https://x.com/tudeisikseu/status/1897060029607633156","1085109212831670272","tudeisikseu"
